price,lprice,square,rooms,floor,mfloor,station,metro,ametro,dmetro,link
38882785,17.476062165649594,91.9,3,21,27,метро ВДНХ,18 минут пешком,1,18,https://www.cian.ru/sale/flat/296010089/
26302846,17.085187704221152,54.4,2,11,15,метро Технопарк,4 минуты на транспорте,0,4,https://www.cian.ru/sale/flat/313928087/
9600000,16.077273656438063,41.7,2,2,9,метро Окская,4 минуты на транспорте,0,4,https://www.cian.ru/sale/flat/316135519/
10800000,16.195056692094447,31.0,1,1,9,метро Солнцево,12 минут пешком,1,12,https://www.cian.ru/sale/flat/313171881/
93371900,18.352101001401618,87.6,3,4,46,метро Фили,8 минут пешком,1,8,https://www.cian.ru/sale/flat/314317801/
65200000,17.99297002689688,115.0,2,7,10,метро Новаторская,13 минут пешком,1,13,https://www.cian.ru/sale/flat/312667273/
12490000,16.34043888210176,72.5,3,10,14,метро Шипиловская,15 минут на транспорте,0,15,https://dzerzhinsky.cian.ru/sale/flat/316801159/
22500000,16.929025867174648,73.0,3,1,17,метро Кунцевская,9 минут пешком,1,9,https://www.cian.ru/sale/flat/316589149/
11823413,16.28559227614752,43.6,1,15,20,метро Рассказовка,8 минут на транспорте,0,8,https://www.cian.ru/sale/flat/315943897/
11500000,16.25785759333348,47.4,2,2,9,метро Южная,12 минут пешком,1,12,https://www.cian.ru/sale/flat/305681413/
11000000,16.213405830762646,43.7,2,3,4,метро Строгино,10 минут на транспорте,0,10,https://www.cian.ru/sale/flat/304305061/
11774300,16.28142974811664,38.0,2,8,8,метро Коммунарка,15 минут пешком,1,15,https://www.cian.ru/sale/flat/316590444/
90500000,18.320860408670157,90.5,3,8,20,метро Краснопресненская,14 минут пешком,1,14,https://www.cian.ru/sale/flat/297151858/
13743380,16.436067811594945,62.3,2,13,13,метро Тёплый Стан,8 минут на транспорте,0,8,https://www.cian.ru/sale/flat/315526607/
8900000,16.00156183470237,56.0,2,2,9,метро Лермонтовский проспект,5 минут на транспорте,0,5,https://lyubertsy.cian.ru/sale/flat/315805307/
39990000,17.504139980823002,82.4,3,5,9,метро Римская,7 минут пешком,1,7,https://www.cian.ru/sale/flat/310328710/
28500000,17.16541464523888,65.0,2,20,47,метро Новаторская,20 минут пешком,1,20,https://www.cian.ru/sale/flat/314264023/
14300000,16.475770095230136,37.2,1,5,17,метро Печатники,12 минут пешком,1,12,https://www.cian.ru/sale/flat/316127286/
11500000,16.25785759333348,47.4,2,1,12,метро Солнцево,20 минут пешком,1,20,https://www.cian.ru/sale/flat/316797216/
13700000,16.432906390798355,58.6,3,5,9,метро Пражская,18 минут пешком,1,18,https://www.cian.ru/sale/flat/315611670/
79000000,18.184958410431296,87.7,3,3,3,метро Китай-город,16 минут пешком,1,16,https://www.cian.ru/sale/flat/303376282/
29507680,17.200161126410787,31.1,1,8,15,метро Ленинский проспект,4 минуты на транспорте,0,4,https://www.cian.ru/sale/flat/315688033/
26654589,17.0984718888742,58.5,2,10,32,метро Багратионовская,8 минут пешком,1,8,https://www.cian.ru/sale/flat/313006788/
8950000,16.007164090251038,33.1,1,17,17,метро Ольховая,5 минут на транспорте,0,5,https://www.cian.ru/sale/flat/313301384/
10400000,16.1573163641116,58.3,2,4,18,метро Речной вокзал,11 минут на транспорте,0,11,https://khimki.cian.ru/sale/flat/315212247/
16500000,16.61887093887081,35.7,1,11,16,метро Достоевская,16 минут пешком,1,16,https://www.cian.ru/sale/flat/315106916/
17900000,16.70031127081098,38.7,1,2,17,метро Динамо,8 минут пешком,1,8,https://www.cian.ru/sale/flat/316830720/
24500000,17.014183675514957,55.0,2,23,25,метро Славянский бульвар,10 минут пешком,1,10,https://www.cian.ru/sale/flat/314626137/
66700000,18.01571551088585,85.0,3,16,32,метро Кутузовская,10 минут на транспорте,0,10,https://www.cian.ru/sale/flat/316022830/
21500000,16.883563493097892,59.0,3,3,9,метро Пражская,3 минуты пешком,1,3,https://www.cian.ru/sale/flat/316027996/
33000000,17.312018119430753,61.2,2,10,10,метро Студенческая,11 минут пешком,1,11,https://www.cian.ru/sale/flat/316820707/
10900000,16.204273347199372,36.2,1,8,9,метро Яхромская,5 минут на транспорте,0,5,https://www.cian.ru/sale/flat/311481555/
10219716,16.139829353704016,35.1,1,16,17,метро Потапово,9 минут на транспорте,0,9,https://www.cian.ru/sale/flat/316669720/
10500000,16.166885815127753,37.9,1,6,17,метро Яхромская,6 минут на транспорте,0,6,https://www.cian.ru/sale/flat/313599599/
42000000,17.553180176247643,50.0,1,3,10,метро Сретенский бульвар,9 минут пешком,1,9,https://www.cian.ru/sale/flat/310885100/
34999900,17.37085576230675,75.0,2,4,27,метро Авиамоторная,12 минут пешком,1,12,https://www.cian.ru/sale/flat/315746058/
19950000,16.808739701300148,30.0,1,2,44,метро Верхние Лихоборы,16 минут пешком,1,16,https://www.cian.ru/sale/flat/316331206/
17500000,16.67771143889374,74.1,3,14,16,метро Филатов Луг,7 минут на транспорте,0,7,https://www.cian.ru/sale/flat/315979031/
5700000,15.555976732804778,43.3,2,1,3,метро Царицыно,14 минут на транспорте,0,14,https://vidnoye.cian.ru/sale/flat/308666890/
15500000,16.556350581889475,54.3,2,11,16,метро Битцевский парк,4 минуты на транспорте,0,4,https://www.cian.ru/sale/flat/316013121/
21317335,16.875031149448766,77.9,4,11,17,метро Ольховая,6 минут на транспорте,0,6,https://www.cian.ru/sale/flat/315218442/
13450000,16.414489664012123,44.3,2,5,9,метро Люблино,13 минут пешком,1,13,https://www.cian.ru/sale/flat/309149857/
9999000,16.117995645957986,30.1,1,5,5,метро Стахановская,17 минут пешком,1,17,https://www.cian.ru/sale/flat/311345408/
12700000,16.35711255142882,31.9,1,4,9,метро Крестьянская Застава,15 минут пешком,1,15,https://www.cian.ru/sale/flat/309745842/
14471400,16.48768484582799,53.4,2,13,22,метро Ясенево,7 минут на транспорте,0,7,https://www.cian.ru/sale/flat/306784466/
7150000,15.78262291467019,37.0,1,17,21,метро Волоколамская,9 минут на транспорте,0,9,https://krasnogorsk.cian.ru/sale/flat/316515310/
36500000,17.41282281855272,77.5,3,11,34,метро Воронцовская,10 минут пешком,1,10,https://www.cian.ru/sale/flat/316449463/
14000000,16.454567887579532,65.0,3,5,9,метро Тёплый Стан,10 минут пешком,1,10,https://www.cian.ru/sale/flat/316510457/
28000000,17.14771506813948,52.4,2,3,21,метро Баррикадная,19 минут пешком,1,19,https://www.cian.ru/sale/flat/316225243/
40037000,17.505314584529344,81.3,3,7,35,метро Кунцевская,6 минут на транспорте,0,6,https://www.cian.ru/sale/flat/316413218/
5700000,15.555976732804778,40.0,1,15,17,метро Котельники,11 минут на транспорте,0,11,https://dzerzhinsky.cian.ru/sale/flat/316623116/
45650800,17.636531689495726,95.2,3,5,23,метро Электрозаводская,17 минут пешком,1,17,https://www.cian.ru/sale/flat/315273306/
11800000,16.283610089435893,32.0,1,5,14,метро Филатов Луг,9 минут пешком,1,9,https://www.cian.ru/sale/flat/315876141/
15500000,16.556350581889475,56.0,3,2,9,метро Нагатинская,8 минут на транспорте,0,8,https://www.cian.ru/sale/flat/315478714/
18500000,16.733281290048552,75.0,3,9,14,метро Косино,18 минут пешком,1,18,https://www.cian.ru/sale/flat/316797047/
25500000,17.054189010128656,78.6,3,19,22,метро Тропарёво,6 минут пешком,1,6,https://www.cian.ru/sale/flat/302896091/
19800000,16.801192495664765,57.2,3,4,9,метро Рижская,4 минуты на транспорте,0,4,https://www.cian.ru/sale/flat/314503891/
10500000,16.166885815127753,39.0,1,17,17,метро Волоколамская,4 минуты на транспорте,0,4,https://www.cian.ru/sale/flat/316644207/
22500000,16.929025867174648,72.9,3,1,3,метро Комсомольская,13 минут пешком,1,13,https://www.cian.ru/sale/flat/315020785/
